sdg,indicator,unit,location,year,value,is_projected,ci_lower,ci_upper
SDG2 - Zero Hunger,Male Cultivators (Rural) — Workers by Industry,,Arvi,1971,25430,0,,
SDG2 - Zero Hunger,Male Cultivators (Total) — Workers by Industry,,Arvi,1971,27100,0,,
SDG2 - Zero Hunger,Male Cultivators (Urban) — Workers by Industry,,Arvi,1971,1670,0,,
SDG2 - Zero Hunger,"Net Irrigated Area (district, ha)",Hectares,Wardha,2024,140667,0,,
SDG2 - Zero Hunger,Net Sown Area (ha),Hectares,Arvi,2024,44089,0,,
SDG2 - Zero Hunger,Non-Agricultural Use (ha),Hectares,Arvi,2024,10669,0,,
SDG2 - Zero Hunger,Non-Agricultural Use (ha),Hectares,Wardha,2024,6582,0,,
SDG2 - Zero Hunger,"Onion (per kg, urban)",\u20b9/kg,Wardha,2024,34.2,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2016,86.59,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2017,87.13,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2018,86.97,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2019,86.96,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2020,86.83,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2021,86.7,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2022,86.37,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2023,86.42,0,,
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2025,86.358,1,86.278,86.438
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2029,86.076,1,85.945,86.206
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2037,85.511,1,85.275,85.747
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2047,84.805,1,84.436,85.173
SDG2 - Zero Hunger,Proportion of net sown area to cultivable land,%,Wardha,2060,83.887,1,83.345,84.429
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2016,87.68,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2017,96.92,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2018,97.34,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2019,95.31,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2020,99.99,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2021,96.89,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2022,95.79,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2023,96.98,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2024,96.12,0,,
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2025,99.23,1,95.083,100
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2029,99.745,1,98.121,100
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2037,99.972,1,99.74,100
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2047,99.998,1,99.979,100
SDG2 - Zero Hunger,Proportion of population covered under National Food Security Act (NFSA),%,Wardha,2060,100,1,99.999,100
SDG2 - Zero Hunger,"Rice Superior (per kg, urban)",\u20b9/kg,Wardha,2024,69,0,,
SDG2 - Zero Hunger,"Seeds Distributed (district, quintals)",Quintals,Wardha,2024,169000,0,,
SDG2 - Zero Hunger,"Soybean Area (district, ha)",Hectares,Wardha,2024,130965,0,,
SDG2 - Zero Hunger,Soybean Area (ha),Hectares,Arvi,2024,12449,0,,
SDG2 - Zero Hunger,Soybean Production YoY Change (%),%,Wardha,2024,-17.96,0,,
SDG2 - Zero Hunger,Soybean Productivity (kg/ha),Kg/Ha,Arvi,2024,948,0,,
SDG2 - Zero Hunger,"Sugar (per kg, urban)",\u20b9/kg,Wardha,2024,41.8,0,,
SDG2 - Zero Hunger,Total Agricultural Pump Sets (district),Number,Wardha,2024,81962,0,,
SDG2 - Zero Hunger,Total Cultivators (Total) — Workers by Industry,,Arvi,1971,53424,0,,
SDG2 - Zero Hunger,Total Dairy Members (district),Number,Wardha,2024,815,0,,
SDG2 - Zero Hunger,Total Dairy Societies (district),Number,Wardha,2024,23,0,,
SDG2 - Zero Hunger,Total Livestock (Census 2019),Number,Arvi,2019,71324,0,,
SDG2 - Zero Hunger,Total Livestock (Census 2019),Number,Wardha,2019,80402,0,,
SDG2 - Zero Hunger,Total Livestock District (Census 2019),Number,Wardha,2019,484426,0,,
SDG2 - Zero Hunger,Total Milch Animals (Census 2019),Number,Arvi,2019,35127,0,,
