SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2025,34.76,%,MahaSDB [advance release],observed_advance
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2016,65.55,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2017,44.42,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2018,45.65,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2019,46.01,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2020,48.26,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2021,46.51,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2022,46.81,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2023,49.19,%,MahaSDB,no
1,No Poverty,SDG1.1.3.1,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,Wardha,District,2024,53.83,%,MahaSDB,no
1,No Poverty,SDG1.1.4.4,Proportion of homeless population to total population,Wardha,District,2016,0.31,%,MahaSDB,no
1,No Poverty,SDG1.1.4.3,Proportion of population living in households with access to electricity,Wardha,District,2016,96,%,MahaSDB,no
1,No Poverty,SDG1.1.4.3,Proportion of population living in households with access to electricity,Wardha,District,2020,98.8,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,SHGs with Bank Credit Linkage,Arvi,Taluka,2024,"1,878.00",Number,SER,no
1,No Poverty,SDG1.1.3.6,Sanjay Gandhi Niradhar Beneficiaries,Arvi,Taluka,2024,"4,000.00",Number,SER,no
1,No Poverty,SDG1.1.3.6,Shravan Bal Seva Pension Beneficiaries,Arvi,Taluka,2024,"12,218.00",Number,SER,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2018,56.77,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2019,64.86,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2020,69.29,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2021,57.25,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2022,70.87,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2023,88.03,%,MahaSDB,no
